slice,denoiser,psnr,ssim,leakage_corr,grad_ratio,residual_std
85,Gaussian,18.550425752671842,0.6206638402747177,0.07832341989461368,1.2808264816828474,0.03401697427034378
85,NLM,18.318572391310973,0.5313542578687761,0.1070913220767317,0.3979344133724407,0.017218133434653282
85,DnCNN,30.990529053373397,0.8671480261047398,0.671540898490462,4.852600019374457,0.09751200675964355
85,UNet,32.184693419014096,0.8707395803484655,0.6991653585744024,5.141311102529801,0.09848267585039139
85,UNet+Leakage,24.96634467671203,0.8378815963361431,0.6813592458352961,6.684280447179816,0.08035540580749512
86,Gaussian,18.512297168348564,0.6206278184383656,0.07830715165926053,1.2828743055050225,0.0340576246380806
86,NLM,18.285322254101068,0.531918564809696,0.10718652156826769,0.40130594868337327,0.017297737300395966
86,DnCNN,30.986038222814017,0.8673597434321537,0.6733624942473573,4.836712762856595,0.09773356467485428
86,UNet,32.14623767480547,0.8704406126703135,0.7007559518135604,5.097282591548295,0.09857148677110672
86,UNet+Leakage,24.909710662690244,0.8373057116942385,0.6823980480509843,6.6788489458889515,0.08016389608383179
87,Gaussian,18.469953773202768,0.6201320947660736,0.07848169221994374,1.2792862184042215,0.03409377112984657
87,NLM,18.238862452853958,0.5306774527988288,0.10718394919282902,0.3932880019042558,0.017118658870458603
87,DnCNN,31.091909223826633,0.867954196107447,0.6755085965968207,4.781906250287259,0.09781760722398758
87,UNet,32.15737097473885,0.8711401061055647,0.7019567324333912,5.0546042243908005,0.09878548979759216
87,UNet+Leakage,24.925841412740525,0.8377468373753548,0.6838123522982115,6.612270731939603,0.08035093545913696
88,Gaussian,18.427478833735634,0.6187638776936605,0.07872859457181386,1.278040888422263,0.034169092774391174
88,NLM,18.20121829555258,0.5300845297588256,0.10691627553819372,0.3966142306929275,0.01726326160132885
88,DnCNN,31.002927956872497,0.8673215131605364,0.6772659905640042,4.772100704962127,0.09842587262392044
88,UNet,32.11935512217839,0.8708196253978189,0.702951416916259,5.040484739707755,0.09914103150367737
88,UNet+Leakage,24.793858198967534,0.8363582105700802,0.6840321805349179,6.599940937264037,0.08029379695653915
89,Gaussian,18.392940344594464,0.6190523706632989,0.07865119125618213,1.281461111469863,0.03422560170292854
89,NLM,18.167322369019963,0.5300201430235801,0.10722730381223769,0.3945120590017007,0.017217785120010376
89,DnCNN,30.742049285046274,0.8670103401896043,0.6786470246611734,4.763904128937607,0.09920503199100494
89,UNet,32.20711339331458,0.8709422550730171,0.7051053687367763,5.0377781030006545,0.09942229092121124
89,UNet+Leakage,24.803255636314123,0.8358578165815818,0.6847943154968906,6.603752432246789,0.0801774263381958
90,Gaussian,18.359065412695138,0.6198496422509863,0.07846395152155261,1.285777214616928,0.03428465873003006
90,NLM,18.135033606701402,0.5299911929863323,0.10716115327161924,0.3951714707082264,0.01724107936024666
90,DnCNN,31.132333690855056,0.8675309237679925,0.6816945668412805,4.748439096948761,0.09896840900182724
90,UNet,32.26613092486855,0.8709551429715457,0.7068127592797165,5.033159285722104,0.09947486221790314
90,UNet+Leakage,24.78377037129294,0.8362126211694947,0.68529501663753,6.614235008585044,0.08021102100610733
91,Gaussian,18.321031612324703,0.6190500532623959,0.07860731625879036,1.2823752021603627,0.03429606929421425
